image_name,fruit,stage,days_remaining
rotated_by_15_Screen Shot 2018-06-08 at 4.59.36 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 4.59.44 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 4.59.57 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.00.03 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.00.12 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.00.18 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.00.26 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.00.50 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.01.08 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.01.15 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.01.22 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.01.29 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.01.34 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.01.41 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.02.24 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.02.31 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.02.38 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.02.43 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.02.48 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.03.05 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.03.10 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.03.17 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.03.26 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.03.34 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.03.40 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.03.59 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.04.05 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.04.11 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.04.16 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.04.24 PM.png,apple,fresh,5
