image_name,fruit,stage,days_remaining
rotated_by_15_Screen Shot 2018-06-08 at 4.59.36 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 4.59.57 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.00.18 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.01.29 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.01.34 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.03.10 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.03.59 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.04.16 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.05.27 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.06.10 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.06.19 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.06.33 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.06.40 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.08.58 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.09.10 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.09.31 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.10.03 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.10.11 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.10.53 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.11.24 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.12.41 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.13.25 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.13.31 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.13.45 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.14.56 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.15.21 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.15.28 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.16.33 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.16.49 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.16.57 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.17.34 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.18.12 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.20.08 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.20.17 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.20.56 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.21.40 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.21.51 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.22.58 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.23.07 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.23.14 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.23.31 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.23.51 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.24.35 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.25.22 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.25.37 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.26.24 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.26.41 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.27.34 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.27.49 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.28.04 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.28.15 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.28.42 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.29.07 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.29.13 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.29.18 PM.png,apple,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 5.29.31 PM.png,apple,fresh,3
