image_path,fruit,stage_label,stage_name,days
apple\unripe\1.jpeg,apple,0,unripe,10
apple\unripe\10.jpeg,apple,0,unripe,10
apple\unripe\2.jpeg,apple,0,unripe,10
apple\unripe\3.jpeg,apple,0,unripe,10
apple\unripe\4.jpeg,apple,0,unripe,10
apple\unripe\5.jpeg,apple,0,unripe,10
apple\unripe\6.jpeg,apple,0,unripe,10
apple\unripe\7.jpeg,apple,0,unripe,10
apple\unripe\8.jpeg,apple,0,unripe,10
apple\unripe\9.jpeg,apple,0,unripe,10
apple\ripe\1.jpeg,apple,1,ripe,5
apple\ripe\10.jpeg,apple,1,ripe,5
apple\ripe\2.jpeg,apple,1,ripe,5
apple\ripe\3.jpeg,apple,1,ripe,5
apple\ripe\4.jpeg,apple,1,ripe,5
apple\ripe\5.jpeg,apple,1,ripe,5
apple\ripe\6.jpeg,apple,1,ripe,5
apple\ripe\7.jpeg,apple,1,ripe,5
apple\ripe\8.jpeg,apple,1,ripe,5
apple\ripe\9.jpeg,apple,1,ripe,5
apple\rotten\1.jpeg,apple,2,rotten,2
apple\rotten\10.jpeg,apple,2,rotten,2
apple\rotten\2.jpeg,apple,2,rotten,2
apple\rotten\3.jpeg,apple,2,rotten,2
apple\rotten\4.jpeg,apple,2,rotten,2
apple\rotten\5.jpeg,apple,2,rotten,2
apple\rotten\6.jpeg,apple,2,rotten,2
apple\rotten\7.jpeg,apple,2,rotten,2
apple\rotten\8.jpeg,apple,2,rotten,2
apple\rotten\9.jpeg,apple,2,rotten,2
banana\unripe\1.jpeg,banana,0,unripe,6
banana\unripe\10.jpeg,banana,0,unripe,6
banana\unripe\2.jpeg,banana,0,unripe,6
banana\unripe\3.jpeg,banana,0,unripe,6
banana\unripe\4.jpeg,banana,0,unripe,6
banana\unripe\5.jpeg,banana,0,unripe,6
banana\unripe\6.jpeg,banana,0,unripe,6
banana\unripe\7.jpeg,banana,0,unripe,6
banana\unripe\8.jpeg,banana,0,unripe,6
banana\unripe\9.jpeg,banana,0,unripe,6
banana\ripe\1.jpeg,banana,1,ripe,3
banana\ripe\10.jpeg,banana,1,ripe,3
banana\ripe\2.jpeg,banana,1,ripe,3
banana\ripe\3.jpeg,banana,1,ripe,3
banana\ripe\4.jpeg,banana,1,ripe,3
banana\ripe\5..jpeg,banana,1,ripe,3
banana\ripe\6.jpeg,banana,1,ripe,3
banana\ripe\7.jpeg,banana,1,ripe,3
banana\ripe\8.jpeg,banana,1,ripe,3
banana\ripe\9.jpeg,banana,1,ripe,3
banana\rotten\1.jpeg,banana,2,rotten,1
banana\rotten\10.jpeg,banana,2,rotten,1
banana\rotten\2.jpeg,banana,2,rotten,1
banana\rotten\3.jpeg,banana,2,rotten,1
banana\rotten\4.jpeg,banana,2,rotten,1
banana\rotten\5.jpeg,banana,2,rotten,1
banana\rotten\6.jpeg,banana,2,rotten,1
banana\rotten\7.jpeg,banana,2,rotten,1
banana\rotten\8.jpeg,banana,2,rotten,1
banana\rotten\9.jpeg,banana,2,rotten,1
orange\unripe\1.jpeg,orange,0,unripe,8
orange\unripe\10.jpeg,orange,0,unripe,8
orange\unripe\2.jpeg,orange,0,unripe,8
orange\unripe\3.jpeg,orange,0,unripe,8
orange\unripe\4.jpeg,orange,0,unripe,8
orange\unripe\5.jpeg,orange,0,unripe,8
orange\unripe\6.jpeg,orange,0,unripe,8
orange\unripe\7.jpeg,orange,0,unripe,8
orange\unripe\8.jpeg,orange,0,unripe,8
orange\unripe\9.jpeg,orange,0,unripe,8
orange\ripe\1.jpeg,orange,1,ripe,4
orange\ripe\10.jpeg,orange,1,ripe,4
orange\ripe\2.jpeg,orange,1,ripe,4
orange\ripe\3.jpeg,orange,1,ripe,4
orange\ripe\4.jpeg,orange,1,ripe,4
orange\ripe\5.jpeg,orange,1,ripe,4
orange\ripe\6.jpeg,orange,1,ripe,4
orange\ripe\7.jpeg,orange,1,ripe,4
orange\ripe\8.jpeg,orange,1,ripe,4
orange\ripe\9.jpeg,orange,1,ripe,4
orange\rotten\1.jpeg,orange,2,rotten,2
orange\rotten\10.jpeg,orange,2,rotten,2
orange\rotten\2.jpeg,orange,2,rotten,2
orange\rotten\3.jpeg,orange,2,rotten,2
orange\rotten\4.jpeg,orange,2,rotten,2
orange\rotten\5.jpeg,orange,2,rotten,2
orange\rotten\6.jpeg,orange,2,rotten,2
orange\rotten\7.jpeg,orange,2,rotten,2
orange\rotten\8.jpeg,orange,2,rotten,2
orange\rotten\9.jpeg,orange,2,rotten,2
papaya\unripe\1.jpeg,papaya,0,unripe,6
papaya\unripe\10.jpeg,papaya,0,unripe,6
papaya\unripe\2.jpeg,papaya,0,unripe,6
papaya\unripe\3.jpeg,papaya,0,unripe,6
papaya\unripe\4.jpeg,papaya,0,unripe,6
papaya\unripe\5.jpeg,papaya,0,unripe,6
papaya\unripe\6.jpeg,papaya,0,unripe,6
papaya\unripe\7.jpeg,papaya,0,unripe,6
papaya\unripe\8.jpeg,papaya,0,unripe,6
papaya\unripe\9.jpeg,papaya,0,unripe,6
papaya\ripe\1.jpeg,papaya,1,ripe,3
papaya\ripe\10.jpeg,papaya,1,ripe,3
papaya\ripe\2.jpeg,papaya,1,ripe,3
papaya\ripe\3.jpeg,papaya,1,ripe,3
papaya\ripe\4.jpeg,papaya,1,ripe,3
papaya\ripe\5.jpeg,papaya,1,ripe,3
papaya\ripe\6.jpeg,papaya,1,ripe,3
papaya\ripe\7.jpeg,papaya,1,ripe,3
papaya\ripe\8.jpeg,papaya,1,ripe,3
papaya\ripe\9.jpeg,papaya,1,ripe,3
papaya\rotten\1.jpeg,papaya,2,rotten,1
papaya\rotten\10.jpeg,papaya,2,rotten,1
papaya\rotten\2.jpeg,papaya,2,rotten,1
papaya\rotten\3.jpeg,papaya,2,rotten,1
papaya\rotten\4.jpeg,papaya,2,rotten,1
papaya\rotten\5.jpeg,papaya,2,rotten,1
papaya\rotten\6.jpeg,papaya,2,rotten,1
papaya\rotten\7.jpeg,papaya,2,rotten,1
papaya\rotten\8.jpeg,papaya,2,rotten,1
papaya\rotten\9.jpeg,papaya,2,rotten,1
