image_name,fruit,stage,days_remaining
rotated_by_45_Screen Shot 2018-06-12 at 8.56.21 PM.png,banana,rotten,1
aug_0_2944.jpg,orange,unripe,8
rotated_by_75_Screen Shot 2018-06-13 at 12.07.05 AM.png,orange,fresh,4
rotated_by_15_Screen Shot 2018-06-07 at 3.01.38 PM.png,apple,rotten,2
aug_0_5220.jpg,orange,unripe,8
277.jpg,papaya,unripe,6
340.jpg,papaya,ripe,3
rotated_by_45_Screen Shot 2018-06-12 at 11.50.33 PM.png,orange,fresh,4
Screen Shot 2018-06-12 at 9.53.30 PM.png,banana,fresh,3
aug_0_8773.jpg,orange,unripe,8
aug_0_8140.jpg,banana,unripe,6
aug_0_2279.jpg,orange,unripe,8
aug_0_4010.jpg,apple,unripe,10
aug_0_4469.jpg,apple,unripe,10
aug_0_9099.jpg,apple,unripe,10
rotated_by_75_Screen Shot 2018-06-12 at 9.41.18 PM.png,banana,fresh,3
rotated_by_45_Screen Shot 2018-06-08 at 5.10.43 PM.png,apple,fresh,5
aug_0_813.jpg,apple,unripe,10
rotated_by_60_Screen Shot 2018-06-12 at 9.11.43 PM.png,banana,rotten,1
aug_0_875.jpg,apple,unripe,10
rotated_by_45_Screen Shot 2018-06-12 at 9.54.56 PM.png,banana,fresh,3
rotated_by_15_Screen Shot 2018-06-12 at 9.58.36 PM.png,banana,fresh,3
saltandpepper_Screen Shot 2018-06-12 at 8.57.34 PM.png,banana,rotten,1
rotated_by_75_Screen Shot 2018-06-12 at 10.00.07 PM.png,banana,fresh,3
rotated_by_60_Screen Shot 2018-06-12 at 11.45.57 PM.png,orange,rotten,2
aug_0_8256.jpg,banana,unripe,6
aug_0_3166.jpg,orange,unripe,8
247.jpg,papaya,unripe,6
saltandpepper_Screen Shot 2018-06-12 at 11.36.35 PM.png,orange,rotten,2
rotated_by_60_Screen Shot 2018-06-12 at 11.55.28 PM.png,orange,fresh,4
rotated_by_15_Screen Shot 2018-06-08 at 5.26.24 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-12 at 11.50.28 PM.png,orange,fresh,4
rotated_by_45_Screen Shot 2018-06-12 at 9.22.50 PM.png,banana,rotten,1
154.jpg,papaya,unripe,6
aug_0_1888.jpg,orange,unripe,8
rotated_by_30_Screen Shot 2018-06-12 at 11.24.51 PM.png,orange,rotten,2
aug_0_286.jpg,orange,unripe,8
rotated_by_15_Screen Shot 2018-06-13 at 12.00.54 AM.png,orange,fresh,4
