image_name,fruit,stage,fruit_id,ripeness_id,days_remaining,relative_path
340.jpg,mango,rotten,2,2,0.4,mango\Rotten\340.jpg
557.jpg,apple,unripe,0,0,9.68,apple\Unripe\557.jpg
408.jpg,apple,unripe,0,0,10.0,apple\Unripe\408.jpg
152.jpg,pineapple,fresh,5,1,2.84,pineapple\Fresh\152.jpg
193.jpg,papaya,fresh,4,1,1.75,papaya\Fresh\193.jpg
580.jpg,pineapple,unripe,5,0,5.65,pineapple\Unripe\580.jpg
403.jpg,orange,rotten,3,2,0.61,orange\Rotten\403.jpg
453.jpg,mango,unripe,2,0,7.14,mango\Unripe\453.jpg
334.jpg,pineapple,rotten,5,2,-1.4,pineapple\Rotten\334.jpg
77.jpg,apple,unripe,0,0,10.16,apple\Unripe\77.jpg
79.jpg,pineapple,rotten,5,2,-1.51,pineapple\Rotten\79.jpg
144.jpg,pineapple,unripe,5,0,5.96,pineapple\Unripe\144.jpg
489.jpg,pineapple,fresh,5,1,3.22,pineapple\Fresh\489.jpg
487.jpg,apple,unripe,0,0,9.63,apple\Unripe\487.jpg
326.jpg,apple,unripe,0,0,10.2,apple\Unripe\326.jpg
41.jpg,mango,rotten,2,2,0.36,mango\Rotten\41.jpg
436.jpg,mango,rotten,2,2,0.25,mango\Rotten\436.jpg
4.jpg,apple,rotten,0,2,0.12,apple\Rotten\4.jpg
16.jpg,mango,unripe,2,0,6.69,mango\Unripe\16.jpg
211.jpg,apple,fresh,0,1,5.24,apple\Fresh\211.jpg
349.jpg,apple,rotten,0,2,0.64,apple\Rotten\349.jpg
470.jpg,banana,rotten,1,2,0.37,banana\Rotten\470.jpg
529.jpg,orange,unripe,3,0,8.24,orange\Unripe\529.jpg
498.jpg,orange,unripe,3,0,7.58,orange\Unripe\498.jpg
355.jpg,mango,fresh,2,1,2.97,mango\Fresh\355.jpg
486.jpg,banana,unripe,1,0,6.43,banana\Unripe\486.jpg
657.jpg,papaya,unripe,4,0,4.67,papaya\Unripe\657.jpg
186.jpg,pineapple,unripe,5,0,6.2,pineapple\Unripe\186.jpg
337.jpg,pineapple,unripe,5,0,5.69,pineapple\Unripe\337.jpg
239.jpg,pineapple,fresh,5,1,2.78,pineapple\Fresh\239.jpg
438.jpg,pineapple,fresh,5,1,3.04,pineapple\Fresh\438.jpg
86.jpg,mango,fresh,2,1,2.73,mango\Fresh\86.jpg
458.jpg,mango,fresh,2,1,3.18,mango\Fresh\458.jpg
412.jpg,papaya,fresh,4,1,1.89,papaya\Fresh\412.jpg
655.jpg,apple,unripe,0,0,9.99,apple\Unripe\655.jpg
401.jpg,banana,rotten,1,2,0.71,banana\Rotten\401.jpg
471.jpg,orange,unripe,3,0,8.05,orange\Unripe\471.jpg
394.jpg,banana,rotten,1,2,0.23,banana\Rotten\394.jpg
485.jpg,mango,unripe,2,0,6.81,mango\Unripe\485.jpg
192.jpg,apple,rotten,0,2,0.16,apple\Rotten\192.jpg
7.jpg,papaya,rotten,4,2,0.09,papaya\Rotten\7.jpg
393.jpg,mango,fresh,2,1,3.25,mango\Fresh\393.jpg
512.jpg,pineapple,rotten,5,2,0.15,pineapple\Rotten\512.jpg
5.jpg,banana,unripe,1,0,5.97,banana\Unripe\5.jpg
549.jpg,apple,rotten,0,2,0.22,apple\Rotten\549.jpg
98.jpg,apple,unripe,0,0,9.66,apple\Unripe\98.jpg
81.jpg,orange,rotten,3,2,-1.02,orange\Rotten\81.jpg
474.jpg,mango,fresh,2,1,3.28,mango\Fresh\474.jpg
192.jpg,banana,unripe,1,0,5.65,banana\Unripe\192.jpg
171.jpg,pineapple,unripe,5,0,6.1,pineapple\Unripe\171.jpg
135.jpg,banana,unripe,1,0,5.98,banana\Unripe\135.jpg
100.jpg,banana,rotten,1,2,0.28,banana\Rotten\100.jpg
631.jpg,apple,rotten,0,2,0.29,apple\Rotten\631.jpg
440.jpg,orange,fresh,3,1,5.25,orange\Fresh\440.jpg
129.jpg,pineapple,rotten,5,2,0.65,pineapple\Rotten\129.jpg
2.jpg,apple,fresh,0,1,4.88,apple\Fresh\2.jpg
180.jpg,mango,unripe,2,0,6.99,mango\Unripe\180.jpg
49.jpg,banana,rotten,1,2,0.71,banana\Rotten\49.jpg
477.jpg,banana,rotten,1,2,0.63,banana\Rotten\477.jpg
106.jpg,banana,unripe,1,0,6.07,banana\Unripe\106.jpg
315.jpg,pineapple,unripe,5,0,5.74,pineapple\Unripe\315.jpg
564.jpg,orange,unripe,3,0,8.3,orange\Unripe\564.jpg
220.jpg,mango,fresh,2,1,3.1,mango\Fresh\220.jpg
17.jpg,papaya,unripe,4,0,5.04,papaya\Unripe\17.jpg
434.jpg,mango,fresh,2,1,3.04,mango\Fresh\434.jpg
622.jpg,mango,unripe,2,0,7.18,mango\Unripe\622.jpg
367.jpg,pineapple,unripe,5,0,5.63,pineapple\Unripe\367.jpg
265.jpg,orange,fresh,3,1,4.74,orange\Fresh\265.jpg
97.jpg,orange,fresh,3,1,4.72,orange\Fresh\97.jpg
428.jpg,mango,unripe,2,0,6.99,mango\Unripe\428.jpg
54.jpg,pineapple,unripe,5,0,5.99,pineapple\Unripe\54.jpg
98.jpg,apple,fresh,0,1,4.78,apple\Fresh\98.jpg
124.jpg,papaya,unripe,4,0,4.99,papaya\Unripe\124.jpg
85.jpg,banana,fresh,1,1,3.08,banana\Fresh\85.jpg
616.jpg,pineapple,rotten,5,2,0.64,pineapple\Rotten\616.jpg
242.jpg,apple,fresh,0,1,5.09,apple\Fresh\242.jpg
331.jpg,papaya,fresh,4,1,2.2,papaya\Fresh\331.jpg
341.jpg,banana,rotten,1,2,0.48,banana\Rotten\341.jpg
454.jpg,orange,fresh,3,1,5.17,orange\Fresh\454.jpg
649.jpg,pineapple,unripe,5,0,6.23,pineapple\Unripe\649.jpg
206.jpg,orange,unripe,3,0,8.39,orange\Unripe\206.jpg
577.jpg,papaya,fresh,4,1,1.87,papaya\Fresh\577.jpg
251.jpg,papaya,rotten,4,2,0.78,papaya\Rotten\251.jpg
510.jpg,orange,fresh,3,1,4.93,orange\Fresh\510.jpg
310.jpg,pineapple,fresh,5,1,2.89,pineapple\Fresh\310.jpg
450.jpg,pineapple,rotten,5,2,0.23,pineapple\Rotten\450.jpg
214.jpg,papaya,unripe,4,0,4.88,papaya\Unripe\214.jpg
227.jpg,papaya,unripe,4,0,4.53,papaya\Unripe\227.jpg
38.jpg,banana,rotten,1,2,0.06,banana\Rotten\38.jpg
396.jpg,banana,unripe,1,0,5.79,banana\Unripe\396.jpg
485.jpg,banana,rotten,1,2,0.01,banana\Rotten\485.jpg
113.jpg,apple,unripe,0,0,9.82,apple\Unripe\113.jpg
605.jpg,pineapple,rotten,5,2,0.78,pineapple\Rotten\605.jpg
301.jpg,banana,unripe,1,0,6.04,banana\Unripe\301.jpg
132.jpg,mango,fresh,2,1,2.92,mango\Fresh\132.jpg
618.jpg,orange,fresh,3,1,4.82,orange\Fresh\618.jpg
197.jpg,mango,rotten,2,2,-1.26,mango\Rotten\197.jpg
434.jpg,pineapple,rotten,5,2,0.05,pineapple\Rotten\434.jpg
22.jpg,pineapple,unripe,5,0,5.74,pineapple\Unripe\22.jpg
682.jpg,pineapple,rotten,5,2,0.17,pineapple\Rotten\682.jpg
126.jpg,mango,unripe,2,0,7.14,mango\Unripe\126.jpg
453.jpg,pineapple,rotten,5,2,0.25,pineapple\Rotten\453.jpg
574.jpg,apple,unripe,0,0,9.76,apple\Unripe\574.jpg
188.jpg,pineapple,unripe,5,0,6.44,pineapple\Unripe\188.jpg
641.jpg,apple,rotten,0,2,-1.47,apple\Rotten\641.jpg
135.jpg,banana,rotten,1,2,-1.82,banana\Rotten\135.jpg
336.jpg,banana,unripe,1,0,6.46,banana\Unripe\336.jpg
506.jpg,pineapple,rotten,5,2,0.5,pineapple\Rotten\506.jpg
412.jpg,orange,rotten,3,2,0.4,orange\Rotten\412.jpg
144.jpg,papaya,fresh,4,1,1.89,papaya\Fresh\144.jpg
351.jpg,pineapple,unripe,5,0,6.14,pineapple\Unripe\351.jpg
66.jpg,papaya,rotten,4,2,0.71,papaya\Rotten\66.jpg
224.jpg,apple,unripe,0,0,10.25,apple\Unripe\224.jpg
641.jpg,papaya,rotten,4,2,-1.81,papaya\Rotten\641.jpg
341.jpg,papaya,rotten,4,2,0.2,papaya\Rotten\341.jpg
515.jpg,apple,fresh,0,1,4.76,apple\Fresh\515.jpg
147.jpg,banana,unripe,1,0,6.17,banana\Unripe\147.jpg
493.jpg,orange,unripe,3,0,7.76,orange\Unripe\493.jpg
401.jpg,pineapple,unripe,5,0,5.94,pineapple\Unripe\401.jpg
384.jpg,mango,rotten,2,2,0.05,mango\Rotten\384.jpg
386.jpg,papaya,unripe,4,0,5.24,papaya\Unripe\386.jpg
116.jpg,apple,fresh,0,1,4.72,apple\Fresh\116.jpg
214.jpg,pineapple,unripe,5,0,5.55,pineapple\Unripe\214.jpg
152.jpg,banana,unripe,1,0,6.04,banana\Unripe\152.jpg
185.jpg,mango,rotten,2,2,0.65,mango\Rotten\185.jpg
317.jpg,papaya,unripe,4,0,5.12,papaya\Unripe\317.jpg
604.jpg,apple,unripe,0,0,9.66,apple\Unripe\604.jpg
320.jpg,orange,rotten,3,2,0.06,orange\Rotten\320.jpg
345.jpg,pineapple,unripe,5,0,5.92,pineapple\Unripe\345.jpg
262.jpg,papaya,rotten,4,2,0.3,papaya\Rotten\262.jpg
260.jpg,apple,unripe,0,0,10.27,apple\Unripe\260.jpg
39.jpg,papaya,unripe,4,0,4.82,papaya\Unripe\39.jpg
421.jpg,orange,fresh,3,1,5.14,orange\Fresh\421.jpg
151.jpg,orange,unripe,3,0,8.43,orange\Unripe\151.jpg
540.jpg,orange,rotten,3,2,-2.45,orange\Rotten\540.jpg
20.jpg,mango,rotten,2,2,0.43,mango\Rotten\20.jpg
573.jpg,pineapple,fresh,5,1,3.05,pineapple\Fresh\573.jpg
184.jpg,apple,unripe,0,0,9.91,apple\Unripe\184.jpg
553.jpg,mango,fresh,2,1,2.84,mango\Fresh\553.jpg
183.jpg,papaya,unripe,4,0,4.87,papaya\Unripe\183.jpg
148.jpg,pineapple,fresh,5,1,3.2,pineapple\Fresh\148.jpg
483.jpg,pineapple,unripe,5,0,6.15,pineapple\Unripe\483.jpg
317.jpg,apple,rotten,0,2,0.11,apple\Rotten\317.jpg
12.jpg,apple,unripe,0,0,9.94,apple\Unripe\12.jpg
435.jpg,papaya,fresh,4,1,1.78,papaya\Fresh\435.jpg
672.jpg,mango,rotten,2,2,0.55,mango\Rotten\672.jpg
40.jpg,apple,fresh,0,1,5.11,apple\Fresh\40.jpg
437.jpg,banana,rotten,1,2,0.21,banana\Rotten\437.jpg
624.jpg,papaya,unripe,4,0,5.45,papaya\Unripe\624.jpg
612.jpg,pineapple,rotten,5,2,0.43,pineapple\Rotten\612.jpg
99.jpg,mango,unripe,2,0,7.02,mango\Unripe\99.jpg
21.jpg,pineapple,unripe,5,0,6.26,pineapple\Unripe\21.jpg
614.jpg,apple,unripe,0,0,9.9,apple\Unripe\614.jpg
305.jpg,papaya,unripe,4,0,4.69,papaya\Unripe\305.jpg
527.jpg,papaya,fresh,4,1,1.89,papaya\Fresh\527.jpg
587.jpg,papaya,unripe,4,0,4.97,papaya\Unripe\587.jpg
518.jpg,pineapple,rotten,5,2,0.31,pineapple\Rotten\518.jpg
550.jpg,mango,unripe,2,0,7.12,mango\Unripe\550.jpg
508.jpg,apple,unripe,0,0,9.62,apple\Unripe\508.jpg
483.jpg,mango,unripe,2,0,6.89,mango\Unripe\483.jpg
320.jpg,apple,fresh,0,1,5.18,apple\Fresh\320.jpg
188.jpg,orange,fresh,3,1,4.81,orange\Fresh\188.jpg
511.jpg,mango,unripe,2,0,6.57,mango\Unripe\511.jpg
512.jpg,papaya,unripe,4,0,4.54,papaya\Unripe\512.jpg
44.jpg,papaya,rotten,4,2,0.43,papaya\Rotten\44.jpg
68.jpg,mango,unripe,2,0,6.78,mango\Unripe\68.jpg
389.jpg,apple,unripe,0,0,10.28,apple\Unripe\389.jpg
88.jpg,mango,fresh,2,1,3.29,mango\Fresh\88.jpg
554.jpg,pineapple,unripe,5,0,6.09,pineapple\Unripe\554.jpg
